,Value
POF Test p-value,3.9326594458710673e-07
Berkowitz Test p-value,1.0
Quantile Loss,0.0003185260228096621
Quadratic Loss,0.015192296579546037
Smooth Loss,0.010188064013877438
Tick Loss,0.01639813642265591
Average Exceedances,0.039761431411530816
Regulatory Loss,9.688357289571787e-07
