,Value
POF Test p-value,1.0687756235583379e-09
Berkowitz Test p-value,1.0
Quantile Loss,0.00034259740221057505
Quadratic Loss,0.016018923859294643
Smooth Loss,0.010729035935024826
Tick Loss,0.017013774538458187
Average Exceedances,0.045207956600361664
Regulatory Loss,1.162376836683603e-06
