,Value
POF Test p-value,1.655493792274143e-06
Berkowitz Test p-value,1.0
Quantile Loss,0.00032083746099596783
Quadratic Loss,0.015589849750033512
Smooth Loss,0.010434661444909548
Tick Loss,0.01675605669602289
Average Exceedances,0.03777335984095427
Regulatory Loss,9.320653879120978e-07
