Date,CC=F,CL=F,CT=F,GC=F,HG=F,KC=F,NG=F,SB=F,SI=F,ZR=F
2000-08-31,-0.019934214900817253,-0.009022709383695336,-0.02154315409944083,0.015936570683698702,0.0,0.008086276783470174,-0.005216416300358666,-0.018762257990639786,0.01469873580974886,-0.03602582225676206
2000-09-06,0.006430890330290331,0.03345771059247447,-0.0027928692016593727,-0.005818109451827068,-0.004979298209649878,0.02898755774710899,0.02094840057011655,-0.004805409509224425,-0.0030057819249934715,0.004788516731797094
2000-09-07,-0.02466056182195161,0.010814022688970302,-0.0034241468584997386,-0.0007297052588563561,0.004979298209649776,0.035892923060606534,-0.013316287581813668,0.0331626252176887,-0.009679418200446939,0.004765696073014425
2000-09-08,0.022093166316705676,-0.047234653200775654,0.009002106862451096,-0.0025580581193663603,0.006600664554407412,-0.007722026379712773,-0.023892618099997483,-0.005607441516582908,-0.002434589184839269,0.0
2000-09-11,-0.014239722811135388,0.040703227002016965,-0.0018559044433934056,-0.0007319974400312447,0.0010958764186367533,0.004511750749464561,0.027288151474823292,-0.02563030299643993,-0.0077487397570266845,0.052481178114641
2000-09-12,0.014239722811135428,-0.025975420622755364,-0.022226586963940986,-0.0007326454797727202,0.016834510182049265,0.011509097845819195,-0.001995959158384717,0.0067082809190844505,0.004900906408431453,0.026707818914935944
2000-09-13,0.025382073271417196,-0.01176488645993067,-0.011301339158090581,-0.0003665241267759522,-0.001077572434072313,0.011378144241395651,0.009940382881202957,0.005714250400393265,-0.003468980383557268,-0.004402061400637653
2000-09-14,-0.029245568096461796,0.008836559625488473,0.007654311564017061,-0.0014673293532120602,-0.0021586990265189637,-0.029986375646370265,0.02731883908106122,-0.01627609709494806,-0.0008180341630718267,-0.007380107297622534
2000-09-15,0.049097336649193274,0.05004618494046984,0.0033304143614218233,-0.0003671970185463141,-0.005960417553644248,-0.012382002012667141,0.001923029814347587,-0.057612746948908104,-0.004100042816258456,-0.03007745523727795
2000-09-18,-0.006161448944048575,0.028325903167544433,-0.002695176691149903,-0.0033106299386009568,-0.0016317767795295361,0.014969384822358085,0.01714330605293326,-0.013381580922814234,0.0016420153602377202,-0.016936509530898286
2000-09-19,-0.007444203111729971,-0.010357167061856647,-0.005412304582710905,0.0018406042790115164,0.003260895200859022,-0.002587382809690863,0.01406489374756844,0.015424529318915104,0.001434567232047015,0.00619197024792098
2000-09-20,-0.01885662408888251,0.02702867238791942,0.00779076776552082,-0.010722949588937191,-0.02194277877183775,0.024945388105151328,-0.009354551588886562,-0.03742646943278041,-0.010913312117949638,-0.07031649841745971
2000-09-21,0.018856624088882577,-0.09945205649921686,0.01196491179945104,0.004821028519513943,0.026274077904152402,-0.017203335195315438,-0.006222324455789131,-0.03010977367851469,0.008658123169040473,-0.019223324925528713
2000-09-22,0.011145626214916323,-0.03904397402028642,-0.007067179077998941,0.005534048683874582,-0.006504068953061682,0.0025673562795676913,-0.02995043102704319,0.042741608928297134,0.007769335691791543,0.014244061525921331
2000-09-25,-0.03764559961636688,-0.03363760955360027,0.00675413388280423,0.00842656877098999,0.00812351386440692,0.013371775571300527,0.027867659055341668,0.018653323199012622,0.001017835108327344,-0.021867986636580638
2000-09-26,0.012706651269114883,-0.0022197470716742895,-0.005179354437341842,-0.000729971590922537,-0.011391513545134001,0.03358520751647068,0.015795760798876294,-0.0020554482108346927,0.003250108594731339,0.007623925110659366
2000-09-27,-0.011428695823622744,0.0,-0.016660428887765658,0.016295852551421852,-0.004373925518775498,-0.03485110773002287,-0.005612776128422049,0.013285847967440895,0.0074754771451403836,0.005889794056063614
2000-09-28,0.013950765256332593,-0.03883985849578412,-0.0006402195452419571,-0.010108345250930458,-0.0016451996689442402,0.011335153504365156,-0.0362981703721837,-0.002032567514149894,-0.0030238641083393985,0.0248562921062455
2000-09-29,0.003771217543079324,0.01831317937729183,-0.003367801852296903,-0.007283353229220022,0.004927436052484149,0.038690752244892886,0.011605535416091326,-0.006122413489038181,-0.010962330551471262,0.03220890336961786
2000-10-02,-0.010088357944340766,0.04095163143177354,0.020353680719031278,-0.0018291572278935403,-0.022646651004552428,-0.04497218005390791,0.028811778109513284,-0.013395368671852521,0.0014278369105146826,-0.009554212804811611
2000-10-03,0.022557347424074527,-0.0024914939557320755,0.00658932389125299,-0.005507632671688516,0.003903037387205409,0.0006299597280183506,-0.0007476985045918496,0.007235141995013717,0.0014258010987335925,-0.0032051309489483358
2000-10-04,0.02568948611531087,-0.01793345835754901,-0.008637654444430511,-0.0047980100356312,-0.002228450879690298,-0.0006299597280182889,-0.01090442985346102,0.02942880676218458,-0.007969804853499112,-0.004827040748315868
2000-10-05,0.008418570465595826,-0.027354895895361348,0.0031495608435988336,0.0011093301708246246,0.014396717632674454,-0.008225311096433761,-0.026433259482602417,0.002995482356786256,0.003072801038725585,0.009630893060961366
2000-10-06,-0.006006024060211922,0.006504112780477965,0.009545501193357911,-0.004815783803371106,-0.00551268783360642,0.009484737925419375,-0.029947066742357264,0.0049726797235466556,-0.0012280071257454268,0.003189795368100081
2000-10-09,-0.017011345826536562,0.032842064880548506,0.008837947351728673,0.0029663289070073085,-0.013355818315982608,0.006273546537457552,0.029558820759492167,0.03700520720933611,0.0004095683621713076,0.02515855963615493
