,Value
POF Test p-value,0.006672977302200733
Berkowitz Test p-value,1.0
Quantile Loss,0.0004712669355148821
Quadratic Loss,0.04369816296744901
Smooth Loss,0.03422354557863879
Tick Loss,0.043794768328375894
Average Exceedances,0.0033140016570008283
Regulatory Loss,6.166569182127247e-07
