,Value
POF Test p-value,1.528505976777783e-05
Berkowitz Test p-value,1.0
Quantile Loss,0.0007916155851049798
Quadratic Loss,0.03314652463144512
Smooth Loss,0.0254833859330639
Tick Loss,0.0342074129662124
Average Exceedances,0.025064822817631807
Regulatory Loss,2.29857450466636e-05
