,Value
POF Test p-value,5.644693214623686e-06
Berkowitz Test p-value,1.0
Quantile Loss,0.0007712691479913675
Quadratic Loss,0.030774925520186812
Smooth Loss,0.023186174939087326
Tick Loss,0.0319055153035589
Average Exceedances,0.02592912705272256
Regulatory Loss,2.2612953285647214e-05
