,Value
POF Test p-value,0.12041873984200191
Berkowitz Test p-value,1.0
Quantile Loss,0.0009820759868003996
Quadratic Loss,0.06362170038662875
Smooth Loss,0.05552060858271602
Tick Loss,0.06522356689166088
Average Exceedances,0.018223234624145785
Regulatory Loss,1.2693259014474282e-05
