,Value
POF Test p-value,
Berkowitz Test p-value,1.0
Quantile Loss,0.0017605601149661611
Quadratic Loss,0.17687522114349022
Smooth Loss,0.17200345661644575
Tick Loss,0.1742954513816498
Average Exceedances,0.0
Regulatory Loss,0.0
