,Value
POF Test p-value,0.002862289418097297
Berkowitz Test p-value,1.0
Quantile Loss,0.0010101622203968683
Quadratic Loss,0.025320569815545695
Smooth Loss,0.017326079204704494
Tick Loss,0.025995255803185423
Average Exceedances,0.022606382978723406
Regulatory Loss,4.845984917733322e-05
