,Value
POF Test p-value,0.4644561795217522
Berkowitz Test p-value,1.0
Quantile Loss,0.001029221448869754
Quadratic Loss,0.0671331509718764
Smooth Loss,0.05878661751102147
Tick Loss,0.06835561542643953
Average Exceedances,0.01366742596810934
Regulatory Loss,1.475310181033358e-05
