,Value
POF Test p-value,
Berkowitz Test p-value,1.0
Quantile Loss,0.0013800127183131847
Quadratic Loss,0.1388725575985643
Smooth Loss,0.1320766369203417
Tick Loss,0.13662125911300516
Average Exceedances,0.0
Regulatory Loss,0.0
