,Value
POF Test p-value,0.5988089312336218
Berkowitz Test p-value,1.0
Quantile Loss,0.000159024019865127
Quadratic Loss,0.01435227183077533
Smooth Loss,0.007725486770014411
Tick Loss,0.012743010218916372
Average Exceedances,0.011968085106382979
Regulatory Loss,1.1133935958263724e-07
