,Value
POF Test p-value,0.4644561795217522
Berkowitz Test p-value,1.0
Quantile Loss,0.001017629387357904
Quadratic Loss,0.07010276860882657
Smooth Loss,0.062162680271413466
Tick Loss,0.07128035287783666
Average Exceedances,0.01366742596810934
Regulatory Loss,8.37616151046914e-06
