,Value
POF Test p-value,0.0008278041643189349
Berkowitz Test p-value,1.0
Quantile Loss,0.0012435964781337058
Quadratic Loss,0.044648883080005815
Smooth Loss,0.03716610489267978
Tick Loss,0.0470197432999007
Average Exceedances,0.029612756264236904
Regulatory Loss,3.5231462799490654e-05
