,Value
POF Test p-value,8.192269085327553e-11
Berkowitz Test p-value,1.0
Quantile Loss,0.001549730759979439
Quadratic Loss,0.03734999462028037
Smooth Loss,0.031182249067944236
Tick Loss,0.04033947004772125
Average Exceedances,0.05112474437627812
Regulatory Loss,4.735606500796428e-05
