,Value
POF Test p-value,0.17218824771608088
Berkowitz Test p-value,1.0
Quantile Loss,0.00030394281752067965
Quadratic Loss,0.024011840573291858
Smooth Loss,0.015890546824023636
Tick Loss,0.0239735590209317
Average Exceedances,0.014942528735632184
Regulatory Loss,7.709600006979335e-07
