,Value
POF Test p-value,
Berkowitz Test p-value,1.0
Quantile Loss,0.0003435642394483283
Quadratic Loss,0.03376352877764182
Smooth Loss,0.0245389625558474
Tick Loss,0.034012859705384466
Average Exceedances,0.0
Regulatory Loss,0.0
