,Value
POF Test p-value,0.989263201098227
Berkowitz Test p-value,1.0
Quantile Loss,0.00025295748453297293
Quadratic Loss,0.022528444406225236
Smooth Loss,0.015220566680650329
Tick Loss,0.02311493179572831
Average Exceedances,0.009940357852882704
Regulatory Loss,4.747513201319756e-08
