,Value
POF Test p-value,
Berkowitz Test p-value,1.0
Quantile Loss,0.0003637371924601062
Quadratic Loss,0.03653766559975705
Smooth Loss,0.025784076511506188
Tick Loss,0.03600998205355048
Average Exceedances,0.0
Regulatory Loss,0.0
