,Value
POF Test p-value,0.3253249666575092
Berkowitz Test p-value,1.0
Quantile Loss,0.0002692862604011181
Quadratic Loss,0.024861479273414287
Smooth Loss,0.01700322406926409
Tick Loss,0.025319620073280587
Average Exceedances,0.005964214711729622
Regulatory Loss,4.6960209003539554e-08
