,Value
POF Test p-value,0.0
Berkowitz Test p-value,1.0
Quantile Loss,0.0009702817639762863
Quadratic Loss,0.020811802028677343
Smooth Loss,0.015149151285997307
Tick Loss,0.022550227797577246
Average Exceedances,0.05185825410544512
Regulatory Loss,3.4348494400018555e-05
