,Value
POF Test p-value,0.0
Berkowitz Test p-value,1.0
Quantile Loss,0.0010660766393969577
Quadratic Loss,0.018680005406612483
Smooth Loss,0.01353272590364318
Tick Loss,0.020651885097652423
Average Exceedances,0.06050129645635264
Regulatory Loss,3.992403742181093e-05
